date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:31	36788/36788	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2004:49:32%20GMT	https://www.naviri.co.id/	C:/My%20Web%20Sites/sombahasbo/www.naviri.co.id/index.html	(from )
11:49:32	574/574	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Sep%202023%2004:49:32%20GMT	https://www.naviri.co.id/robots.txt		(from )
11:49:54	545/545	---MC-	200	added ('OK')	text/css	date:Mon,%2004%20Sep%202023%2004:49:55%20GMT	https://fonts.googleapis.com/css?family=Francois+One|Lato:400,700	C:/My%20Web%20Sites/sombahasbo/fonts.googleapis.com/css2f08.css	(from https://www.naviri.co.id/)
11:49:54	26522/26522	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/uploads/favicon.png	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/uploads/favicon.png	(from https://www.naviri.co.id/)
11:49:55	52789/52789	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/animate.min.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/animate.min.css	(from https://www.naviri.co.id/)
11:49:55	121200/121200	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/bootstrap.min.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/bootstrap.min.css	(from https://www.naviri.co.id/)
11:49:55	33745/33745	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/datepicker3.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/datepicker3.css	(from https://www.naviri.co.id/)
11:49:55	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/font-awesome.min.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/font-awesome.min.css	(from https://www.naviri.co.id/)
11:49:56	2894/2894	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/lightbox.min.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/lightbox.min.css	(from https://www.naviri.co.id/)
11:49:56	3011/3011	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/owl.carousel.min.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/owl.carousel.min.css	(from https://www.naviri.co.id/)
11:49:56	110365/110365	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/hover-min.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/hover-min.css	(from https://www.naviri.co.id/)
